card_name,set_name,number_in_set,printing_option,condition,market_price,image
Alakazam,Base Set,1,Holofoil,Damaged,10.28,https://images.pokemontcg.io/base1/1.png
Alakazam,Base Set,1,Holofoil,Heavily Played,13.0,https://images.pokemontcg.io/base1/1.png
Alakazam,Base Set,1,Holofoil,Moderately Played,16.92,https://images.pokemontcg.io/base1/1.png
Alakazam,Base Set,1,Holofoil,Lightly Played,22.36,https://images.pokemontcg.io/base1/1.png
Alakazam,Base Set,1,Holofoil,Near Mint,34.62,https://images.pokemontcg.io/base1/1.png
