card_name,set_name,number_in_set,printing_option,condition,market_price,image
Absol,Dragon,1,Reverse Holofoil,Heavily Played,16.03,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Reverse Holofoil,Moderately Played,42.99,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Reverse Holofoil,Lightly Played,52.97,https://images.pokemontcg.io/ex3/1.png
Absol,Dragon,1,Reverse Holofoil,Near Mint,52.54,https://images.pokemontcg.io/ex3/1.png
Venusaur,Pokémon Rumble,1,Holofoil,Damaged,32.59,https://images.pokemontcg.io/ru1/1.png
Venusaur,Pokémon Rumble,1,Holofoil,Heavily Played,43.98,https://images.pokemontcg.io/ru1/1.png
Venusaur,Pokémon Rumble,1,Holofoil,Moderately Played,68.52,https://images.pokemontcg.io/ru1/1.png
Venusaur,Pokémon Rumble,1,Holofoil,Lightly Played,103.81,https://images.pokemontcg.io/ru1/1.png
Venusaur,Pokémon Rumble,1,Holofoil,Near Mint,126.98,https://images.pokemontcg.io/ru1/1.png
Ampharos,Aquapolis,H1,Normal,Damaged,8.82,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Normal,Heavily Played,6.51,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Normal,Moderately Played,8.5,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Normal,Lightly Played,14.95,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Normal,Near Mint,22.99,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Reverse Holofoil,Damaged,8.82,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Reverse Holofoil,Heavily Played,6.51,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Reverse Holofoil,Moderately Played,8.5,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Reverse Holofoil,Lightly Played,14.95,https://images.pokemontcg.io/ecard2/H1.png
Ampharos,Aquapolis,H1,Reverse Holofoil,Near Mint,22.99,https://images.pokemontcg.io/ecard2/H1.png
Alakazam,Base Set 2,1,Holofoil,Damaged,10.28,https://images.pokemontcg.io/base4/1.png
Alakazam,Base Set 2,1,Holofoil,Heavily Played,13.0,https://images.pokemontcg.io/base4/1.png
Alakazam,Base Set 2,1,Holofoil,Moderately Played,16.92,https://images.pokemontcg.io/base4/1.png
Alakazam,Base Set 2,1,Holofoil,Lightly Played,22.36,https://images.pokemontcg.io/base4/1.png
Alakazam,Base Set 2,1,Holofoil,Near Mint,34.62,https://images.pokemontcg.io/base4/1.png
Arcanine,HeartGold & SoulSilver,1,Holofoil,Damaged,8.54,https://images.pokemontcg.io/hgss1/1.png
Arcanine,HeartGold & SoulSilver,1,Holofoil,Heavily Played,11.88,https://images.pokemontcg.io/hgss1/1.png
Arcanine,HeartGold & SoulSilver,1,Holofoil,Moderately Played,12.83,https://images.pokemontcg.io/hgss1/1.png
Arcanine,HeartGold & SoulSilver,1,Holofoil,Lightly Played,21.01,https://images.pokemontcg.io/hgss1/1.png
Arcanine,HeartGold & SoulSilver,1,Holofoil,Near Mint,37.66,https://images.pokemontcg.io/hgss1/1.png
Arcanine,HeartGold & SoulSilver,1,Reverse Holofoil,Damaged,8.54,https://images.pokemontcg.io/hgss1/1.png
Arcanine,HeartGold & SoulSilver,1,Reverse Holofoil,Heavily Played,11.88,https://images.pokemontcg.io/hgss1/1.png
Arcanine,HeartGold & SoulSilver,1,Reverse Holofoil,Moderately Played,12.83,https://images.pokemontcg.io/hgss1/1.png
Arcanine,HeartGold & SoulSilver,1,Reverse Holofoil,Lightly Played,21.01,https://images.pokemontcg.io/hgss1/1.png
Arcanine,HeartGold & SoulSilver,1,Reverse Holofoil,Near Mint,37.66,https://images.pokemontcg.io/hgss1/1.png
Beedrill δ,Delta Species,1,,Damaged,,https://images.pokemontcg.io/ex11/1.png
Beedrill δ,Delta Species,1,,Heavily Played,,https://images.pokemontcg.io/ex11/1.png
Beedrill δ,Delta Species,1,,Moderately Played,,https://images.pokemontcg.io/ex11/1.png
Beedrill δ,Delta Species,1,,Lightly Played,,https://images.pokemontcg.io/ex11/1.png
Beedrill δ,Delta Species,1,,Near Mint,,https://images.pokemontcg.io/ex11/1.png
Azumarill,Team Rocket Returns,1,,Damaged,,https://images.pokemontcg.io/ex7/1.png
Azumarill,Team Rocket Returns,1,,Heavily Played,,https://images.pokemontcg.io/ex7/1.png
Azumarill,Team Rocket Returns,1,,Moderately Played,,https://images.pokemontcg.io/ex7/1.png
Azumarill,Team Rocket Returns,1,,Lightly Played,,https://images.pokemontcg.io/ex7/1.png
Azumarill,Team Rocket Returns,1,,Near Mint,,https://images.pokemontcg.io/ex7/1.png
Blaine's Moltres,Gym Heroes,1,Unlimited Holofoil,Damaged,24.62,https://images.pokemontcg.io/gym1/1.png
Blaine's Moltres,Gym Heroes,1,Unlimited Holofoil,Heavily Played,30.53,https://images.pokemontcg.io/gym1/1.png
Blaine's Moltres,Gym Heroes,1,Unlimited Holofoil,Moderately Played,44.95,https://images.pokemontcg.io/gym1/1.png
Blaine's Moltres,Gym Heroes,1,Unlimited Holofoil,Lightly Played,66.66,https://images.pokemontcg.io/gym1/1.png
Blaine's Moltres,Gym Heroes,1,Unlimited Holofoil,Near Mint,86.08,https://images.pokemontcg.io/gym1/1.png
Blaine's Moltres,Gym Heroes,1,1st Edition Holofoil,Damaged,66.54,https://images.pokemontcg.io/gym1/1.png
Blaine's Moltres,Gym Heroes,1,1st Edition Holofoil,Heavily Played,65.27,https://images.pokemontcg.io/gym1/1.png
Blaine's Moltres,Gym Heroes,1,1st Edition Holofoil,Moderately Played,105.7,https://images.pokemontcg.io/gym1/1.png
Blaine's Moltres,Gym Heroes,1,1st Edition Holofoil,Lightly Played,198.44,https://images.pokemontcg.io/gym1/1.png
Blaine's Moltres,Gym Heroes,1,1st Edition Holofoil,Near Mint,134.91,https://images.pokemontcg.io/gym1/1.png
Aerodactyl,Fossil,1,Unlimited Holofoil,Damaged,16.67,https://images.pokemontcg.io/base3/1.png
Aerodactyl,Fossil,1,Unlimited Holofoil,Heavily Played,8.73,https://images.pokemontcg.io/base3/1.png
Aerodactyl,Fossil,1,Unlimited Holofoil,Moderately Played,12.14,https://images.pokemontcg.io/base3/1.png
Aerodactyl,Fossil,1,Unlimited Holofoil,Lightly Played,47.63,https://images.pokemontcg.io/base3/1.png
Aerodactyl,Fossil,1,Unlimited Holofoil,Near Mint,26.98,https://images.pokemontcg.io/base3/1.png
Aerodactyl,Fossil,1,1st Edition Holofoil,Damaged,16.67,https://images.pokemontcg.io/base3/1.png
Aerodactyl,Fossil,1,1st Edition Holofoil,Heavily Played,8.73,https://images.pokemontcg.io/base3/1.png
Aerodactyl,Fossil,1,1st Edition Holofoil,Moderately Played,12.14,https://images.pokemontcg.io/base3/1.png
Aerodactyl,Fossil,1,1st Edition Holofoil,Lightly Played,47.63,https://images.pokemontcg.io/base3/1.png
Aerodactyl,Fossil,1,1st Edition Holofoil,Near Mint,26.98,https://images.pokemontcg.io/base3/1.png
Celebi & Venusaur-GX,Team Up,1,,Damaged,,https://images.pokemontcg.io/sm9/1.png
Celebi & Venusaur-GX,Team Up,1,,Heavily Played,,https://images.pokemontcg.io/sm9/1.png
Celebi & Venusaur-GX,Team Up,1,,Moderately Played,,https://images.pokemontcg.io/sm9/1.png
Celebi & Venusaur-GX,Team Up,1,,Lightly Played,,https://images.pokemontcg.io/sm9/1.png
Celebi & Venusaur-GX,Team Up,1,,Near Mint,,https://images.pokemontcg.io/sm9/1.png
Caterpie,Flashfire,1,Normal,Damaged,0.12,https://images.pokemontcg.io/xy2/1.png
Caterpie,Flashfire,1,Normal,Heavily Played,0.1,https://images.pokemontcg.io/xy2/1.png
Caterpie,Flashfire,1,Normal,Moderately Played,0.13,https://images.pokemontcg.io/xy2/1.png
Caterpie,Flashfire,1,Normal,Lightly Played,0.13,https://images.pokemontcg.io/xy2/1.png
Caterpie,Flashfire,1,Normal,Near Mint,0.21,https://images.pokemontcg.io/xy2/1.png
Caterpie,Flashfire,1,Reverse Holofoil,Damaged,0.12,https://images.pokemontcg.io/xy2/1.png
Caterpie,Flashfire,1,Reverse Holofoil,Heavily Played,0.1,https://images.pokemontcg.io/xy2/1.png
Caterpie,Flashfire,1,Reverse Holofoil,Moderately Played,0.13,https://images.pokemontcg.io/xy2/1.png
Caterpie,Flashfire,1,Reverse Holofoil,Lightly Played,0.34,https://images.pokemontcg.io/xy2/1.png
Caterpie,Flashfire,1,Reverse Holofoil,Near Mint,0.21,https://images.pokemontcg.io/xy2/1.png
Bastiodon,POP Series 6,1,Normal,Damaged,1.0,https://images.pokemontcg.io/pop6/1.png
Bastiodon,POP Series 6,1,Normal,Heavily Played,0.34,https://images.pokemontcg.io/pop6/1.png
Bastiodon,POP Series 6,1,Normal,Moderately Played,0.77,https://images.pokemontcg.io/pop6/1.png
Bastiodon,POP Series 6,1,Normal,Lightly Played,1.22,https://images.pokemontcg.io/pop6/1.png
Bastiodon,POP Series 6,1,Normal,Near Mint,1.59,https://images.pokemontcg.io/pop6/1.png
Arcanine,Aquapolis,H2,Normal,Damaged,,https://images.pokemontcg.io/ecard2/H2.png
Arcanine,Aquapolis,H2,Normal,Heavily Played,,https://images.pokemontcg.io/ecard2/H2.png
Arcanine,Aquapolis,H2,Normal,Moderately Played,,https://images.pokemontcg.io/ecard2/H2.png
Arcanine,Aquapolis,H2,Normal,Lightly Played,45.14,https://images.pokemontcg.io/ecard2/H2.png
Arcanine,Aquapolis,H2,Normal,Near Mint,40.98,https://images.pokemontcg.io/ecard2/H2.png
Arcanine,Aquapolis,H2,Reverse Holofoil,Damaged,,https://images.pokemontcg.io/ecard2/H2.png
Arcanine,Aquapolis,H2,Reverse Holofoil,Heavily Played,,https://images.pokemontcg.io/ecard2/H2.png
Arcanine,Aquapolis,H2,Reverse Holofoil,Moderately Played,,https://images.pokemontcg.io/ecard2/H2.png
Arcanine,Aquapolis,H2,Reverse Holofoil,Lightly Played,45.14,https://images.pokemontcg.io/ecard2/H2.png
Arcanine,Aquapolis,H2,Reverse Holofoil,Near Mint,40.98,https://images.pokemontcg.io/ecard2/H2.png
Altaria,Triumphant,2,,Damaged,,https://images.pokemontcg.io/hgss4/2.png
Altaria,Triumphant,2,,Heavily Played,,https://images.pokemontcg.io/hgss4/2.png
Altaria,Triumphant,2,,Moderately Played,,https://images.pokemontcg.io/hgss4/2.png
Altaria,Triumphant,2,,Lightly Played,,https://images.pokemontcg.io/hgss4/2.png
Altaria,Triumphant,2,,Near Mint,,https://images.pokemontcg.io/hgss4/2.png
Blastoise,Platinum,2,,Damaged,,https://images.pokemontcg.io/pl1/2.png
Blastoise,Platinum,2,,Heavily Played,,https://images.pokemontcg.io/pl1/2.png
Blastoise,Platinum,2,,Moderately Played,,https://images.pokemontcg.io/pl1/2.png
Blastoise,Platinum,2,,Lightly Played,,https://images.pokemontcg.io/pl1/2.png
Blastoise,Platinum,2,,Near Mint,,https://images.pokemontcg.io/pl1/2.png
Altaria,Dragon,2,,Damaged,,https://images.pokemontcg.io/ex3/2.png
Altaria,Dragon,2,,Heavily Played,,https://images.pokemontcg.io/ex3/2.png
Altaria,Dragon,2,,Moderately Played,,https://images.pokemontcg.io/ex3/2.png
Altaria,Dragon,2,,Lightly Played,,https://images.pokemontcg.io/ex3/2.png
Altaria,Dragon,2,,Near Mint,,https://images.pokemontcg.io/ex3/2.png
Blastoise,Secret Wonders,2,Holofoil,Damaged,6.66,https://images.pokemontcg.io/dp3/2.png
Blastoise,Secret Wonders,2,Holofoil,Heavily Played,10.41,https://images.pokemontcg.io/dp3/2.png
Blastoise,Secret Wonders,2,Holofoil,Moderately Played,17.94,https://images.pokemontcg.io/dp3/2.png
Blastoise,Secret Wonders,2,Holofoil,Lightly Played,25.74,https://images.pokemontcg.io/dp3/2.png
Blastoise,Secret Wonders,2,Holofoil,Near Mint,75.3,https://images.pokemontcg.io/dp3/2.png
Blastoise,Secret Wonders,2,Reverse Holofoil,Damaged,5.53,https://images.pokemontcg.io/dp3/2.png
Blastoise,Secret Wonders,2,Reverse Holofoil,Heavily Played,7.03,https://images.pokemontcg.io/dp3/2.png
Blastoise,Secret Wonders,2,Reverse Holofoil,Moderately Played,15.34,https://images.pokemontcg.io/dp3/2.png
Blastoise,Secret Wonders,2,Reverse Holofoil,Lightly Played,18.24,https://images.pokemontcg.io/dp3/2.png
Blastoise,Secret Wonders,2,Reverse Holofoil,Near Mint,87.48,https://images.pokemontcg.io/dp3/2.png
Articuno,Fossil,2,Unlimited,Damaged,5.06,https://images.pokemontcg.io/base3/2.png
Articuno,Fossil,2,Unlimited,Heavily Played,2.8,https://images.pokemontcg.io/base3/2.png
Articuno,Fossil,2,Unlimited,Moderately Played,10.53,https://images.pokemontcg.io/base3/2.png
Articuno,Fossil,2,Unlimited,Lightly Played,14.25,https://images.pokemontcg.io/base3/2.png
Articuno,Fossil,2,Unlimited,Near Mint,9.01,https://images.pokemontcg.io/base3/2.png
Articuno,Fossil,2,1st Edition,Damaged,5.06,https://images.pokemontcg.io/base3/2.png
Articuno,Fossil,2,1st Edition,Heavily Played,2.8,https://images.pokemontcg.io/base3/2.png
Articuno,Fossil,2,1st Edition,Moderately Played,10.53,https://images.pokemontcg.io/base3/2.png
Articuno,Fossil,2,1st Edition,Lightly Played,14.25,https://images.pokemontcg.io/base3/2.png
Articuno,Fossil,2,1st Edition,Near Mint,9.01,https://images.pokemontcg.io/base3/2.png
Blaziken FB,Supreme Victors,2,Holofoil,Damaged,3.14,https://images.pokemontcg.io/pl3/2.png
Blaziken FB,Supreme Victors,2,Holofoil,Heavily Played,4.61,https://images.pokemontcg.io/pl3/2.png
Blaziken FB,Supreme Victors,2,Holofoil,Moderately Played,7.33,https://images.pokemontcg.io/pl3/2.png
Blaziken FB,Supreme Victors,2,Holofoil,Lightly Played,9.9,https://images.pokemontcg.io/pl3/2.png
Blaziken FB,Supreme Victors,2,Holofoil,Near Mint,,https://images.pokemontcg.io/pl3/2.png
Blaziken FB,Supreme Victors,2,Reverse Holofoil,Damaged,3.14,https://images.pokemontcg.io/pl3/2.png
Blaziken FB,Supreme Victors,2,Reverse Holofoil,Heavily Played,4.61,https://images.pokemontcg.io/pl3/2.png
Blaziken FB,Supreme Victors,2,Reverse Holofoil,Moderately Played,7.33,https://images.pokemontcg.io/pl3/2.png
Blaziken FB,Supreme Victors,2,Reverse Holofoil,Lightly Played,9.9,https://images.pokemontcg.io/pl3/2.png
Blaziken FB,Supreme Victors,2,Reverse Holofoil,Near Mint,,https://images.pokemontcg.io/pl3/2.png
Crobat δ,Delta Species,2,Holofoil,Damaged,2.84,https://images.pokemontcg.io/ex11/2.png
Crobat δ,Delta Species,2,Holofoil,Heavily Played,3.58,https://images.pokemontcg.io/ex11/2.png
Crobat δ,Delta Species,2,Holofoil,Moderately Played,6.01,https://images.pokemontcg.io/ex11/2.png
Crobat δ,Delta Species,2,Holofoil,Lightly Played,10.75,https://images.pokemontcg.io/ex11/2.png
Crobat δ,Delta Species,2,Holofoil,Near Mint,13.61,https://images.pokemontcg.io/ex11/2.png
Crobat δ,Delta Species,2,Reverse Holofoil,Damaged,2.84,https://images.pokemontcg.io/ex11/2.png
Crobat δ,Delta Species,2,Reverse Holofoil,Heavily Played,3.58,https://images.pokemontcg.io/ex11/2.png
Crobat δ,Delta Species,2,Reverse Holofoil,Moderately Played,6.01,https://images.pokemontcg.io/ex11/2.png
Crobat δ,Delta Species,2,Reverse Holofoil,Lightly Played,10.75,https://images.pokemontcg.io/ex11/2.png
Crobat δ,Delta Species,2,Reverse Holofoil,Near Mint,13.61,https://images.pokemontcg.io/ex11/2.png
Lucario,POP Series 6,2,Normal,Damaged,,https://images.pokemontcg.io/pop6/2.png
Lucario,POP Series 6,2,Normal,Heavily Played,3.13,https://images.pokemontcg.io/pop6/2.png
Lucario,POP Series 6,2,Normal,Moderately Played,,https://images.pokemontcg.io/pop6/2.png
Lucario,POP Series 6,2,Normal,Lightly Played,4.81,https://images.pokemontcg.io/pop6/2.png
Lucario,POP Series 6,2,Normal,Near Mint,,https://images.pokemontcg.io/pop6/2.png
Metapod,Flashfire,2,Normal,Damaged,,https://images.pokemontcg.io/xy2/2.png
Metapod,Flashfire,2,Normal,Heavily Played,,https://images.pokemontcg.io/xy2/2.png
Metapod,Flashfire,2,Normal,Moderately Played,0.01,https://images.pokemontcg.io/xy2/2.png
Metapod,Flashfire,2,Normal,Lightly Played,0.44,https://images.pokemontcg.io/xy2/2.png
Metapod,Flashfire,2,Normal,Near Mint,0.99,https://images.pokemontcg.io/xy2/2.png
Metapod,Flashfire,2,Reverse Holofoil,Damaged,,https://images.pokemontcg.io/xy2/2.png
Metapod,Flashfire,2,Reverse Holofoil,Heavily Played,,https://images.pokemontcg.io/xy2/2.png
Metapod,Flashfire,2,Reverse Holofoil,Moderately Played,0.01,https://images.pokemontcg.io/xy2/2.png
Metapod,Flashfire,2,Reverse Holofoil,Lightly Played,0.44,https://images.pokemontcg.io/xy2/2.png
Metapod,Flashfire,2,Reverse Holofoil,Near Mint,0.99,https://images.pokemontcg.io/xy2/2.png
Blastoise,Base Set 2,2,Holofoil,Damaged,33.39,https://images.pokemontcg.io/base4/2.png
Blastoise,Base Set 2,2,Holofoil,Heavily Played,40.88,https://images.pokemontcg.io/base4/2.png
Blastoise,Base Set 2,2,Holofoil,Moderately Played,56.93,https://images.pokemontcg.io/base4/2.png
